User,Media Stream,Resource,Gmeet Min,Zoom Min,Meetup Min,Gmeet Max,Zoom Max,Meetup Max,Gmeet Avg,Zoom Avg,Meetup Avg
presenter,webcam,cpu (%),42.9,0.0,32.8,110.4,127.1,81.9,64.14,78.07,53.36
presenter,screen,cpu (%),17.9,22.0,6.2,67.2,149.0,98.3,42.29,44.89,31.04
presenter,webcam,memory (MB),188.4,545.71,66.84,211.48,605.0,88.54,200.46,581.88,74.92
presenter,screen,memory (MB),251.59,465.7,50.43,328.46,578.39,125.28,309.94,521.56,116.81
viewer_1,webcam,cpu (%),4.6,1.6,3.1,39.8,23.2,15.3,11.91,16.13,10.44
viewer_1,screen,cpu (%),1.5,6.2,1.5,48.4,88.9,21.7,12.26,18.59,6.97
viewer_1,webcam,memory (MB),113.24,493.2,38.35,135.53,528.67,44.29,125.64,512.72,41.07
viewer_1,screen,memory (MB),121.65,466.23,38.68,163.95,583.71,64.88,147.99,486.95,63.67
viewer_2,webcam,cpu (%),18.7,9.4,6.2,35.9,42.2,28.1,27.82,25.65,15.84
viewer_2,screen,cpu (%),21.9,14.1,1.6,90.6,34.4,20.3,31.78,25.17,8.93
viewer_2,webcam,memory (MB),128.38,685.86,31.73,157.7,758.36,44.75,146.45,742.73,40.13
viewer_2,screen,memory (MB),138.4,474.14,41.49,183.38,778.07,74.38,165.74,714.59,69.32
viewer_3,webcam,cpu (%),17.2,9.3,1.5,43.7,41.8,23.3,23.96,21.14,10.97
viewer_3,screen,cpu (%),7.0,9.2,1.6,115.6,116.4,15.5,26.67,21.07,7.08
viewer_3,webcam,memory (MB),147.71,498.37,32.09,174.09,620.39,71.72,161.53,523.80,37.48
viewer_3,screen,memory (MB),133.01,467.26,37.11,177.93,592.19,67.08,157.89,490.22,64.99
viewer_4,webcam,cpu (%),12.5,1.6,3.1,70.2,40.3,23.3,28.25,18.80,11.88
viewer_4,screen,cpu (%),7.8,9.3,1.6,54.7,102.2,17.1,21.48,22.17,6.66
viewer_4,webcam,memory (MB),134.82,496.79,24.59,168.47,584.98,33.27,153.54,520.64,31.01
viewer_4,screen,memory (MB),133.8,473.83,45.71,171.01,585.59,55.01,154.91,494.37,52.93
viewer_5,webcam,cpu (%),12.5,1.6,3.1,92.0,37.2,18.6,30.32,16.98,8.70
viewer_5,screen,cpu (%),7.8,4.7,1.5,87.3,45.1,9.3,23.81,16.38,4.88
viewer_5,webcam,memory (MB),149.8,495.82,33.97,178.14,539.14,38.19,162.67,520.50,35.76
viewer_5,screen,memory (MB),132.39,471.05,48.68,169.74,589.5,58.89,157.38,496.23,56.04
viewer_6,webcam,cpu (%),10.9,1.5,1.6,29.7,82.7,17.1,17.83,16.57,10.64
viewer_6,screen,cpu (%),3.1,3.1,1.5,59.5,114.0,10.9,15.99,14.08,4.60
viewer_6,webcam,memory (MB),139.97,501.83,36.67,165.12,628.88,42.68,153.06,522.75,39.84
viewer_6,screen,memory (MB),169.79,222.8,39.34,191.71,548.41,60.29,182.32,469.53,57.91
viewer_7,webcam,cpu (%),7.7,12.4,1.5,85.8,31.0,14.0,18.32,19.20,8.41
viewer_7,screen,cpu (%),4.6,9.3,0.0,26.5,80.8,12.4,13.74,19.46,5.69
viewer_7,webcam,memory (MB),113.59,503.97,35.32,140.47,667.49,39.37,130.45,530.84,36.75
viewer_7,screen,memory (MB),138.93,450.51,36.86,168.0,580.56,61.61,154.59,489.05,58.91
viewer_8,webcam,cpu (%),3.1,0.0,1.4,42.2,37.2,12.4,11.44,19.37,7.90
viewer_8,screen,cpu (%),0.0,0.0,1.5,74.9,47.4,12.4,11.78,15.95,4.72
viewer_8,webcam,memory (MB),154.01,461.19,38.4,171.04,599.97,44.0,162.08,528.80,40.02
viewer_8,screen,memory (MB),151.86,463.54,53.92,173.55,594.48,61.52,163.22,490.31,60.46
viewer_9,webcam,cpu (%),3.1,0.0,3.1,81.2,43.5,20.1,17.72,12.24,10.94
viewer_9,screen,cpu (%),1.6,1.6,1.5,53.2,88.4,7.8,14.80,14.22,3.38
viewer_9,webcam,memory (MB),146.59,510.17,37.5,168.24,574.39,42.71,158.02,551.33,38.77
viewer_9,screen,memory (MB),147.82,465.12,38.09,184.57,558.94,55.19,167.50,488.37,53.49
viewer_10,webcam,cpu (%),12.5,0.0,1.5,98.4,24.9,7.7,30.74,10.94,4.38
viewer_10,screen,cpu (%),17.2,0.0,0.0,51.6,24.7,6.2,29.58,8.75,2.60
viewer_10,webcam,memory (MB),145.68,497.49,36.78,165.43,579.29,41.21,155.36,523.86,38.58
viewer_10,screen,memory (MB),150.44,229.04,39.91,179.41,615.01,59.29,167.43,479.48,56.49
